Account,BUSD_0xe9e7cea3dedca5984780bafc599bd69add087d56,dWTI-BUSD_0x3ebd1b7a27dcc113639fce3a063d6083ef0ef56d,dXAU-BUSD_0x95ca57ff396864c25520bc97deaae978daaf73f3,dTMC-BUSD_0xf048897b35963aaed1a241512d26540c7ec42a60,dUSD-BUSD-to-BUSD,dUSD-BUSD-vault-to-BUSD,DUET-dUSD-to-DUET-CAKE_0xbdf0aa1d1985caa357a6ac6661d838da8691c569,DUET-dUSD-vault-to-DUET-CAKE
0xc11b02bba83ba5554855ee58f80952b38dafa383,0.0,0.982447798708902000,0.111277130320230000,1.07334558367814000,0.0,0.0,245.989830938697000000,0.0
0xd047b39824107d23116b544e1127fc0d3b131509,89.527246499775600000,0.767590640130470000,0.0,0.753454093684577000,26.265440011544100000,0.0,37.723607767121100000,0.0
0xd7f4a04c736cc1c5857231417e6cb8da9cadbec7,0.0,0.0,0.0,0.0,0.0,0.0,0.000080998204091792,0.021876775641185300
0x51f2d3fdfc459363bf7a1ac2c378b882de918c1b,0.0,0.0,0.0,0.0,0.0,0.0,0.000054488092359462,0.0
0xe7afc1509ea558a1ea3a25e6f26ee018d23ec878,0.0,0.0,0.0,0.0,0.0,0.0,0.000050537456684518,0.0
0x95ff5b7681aa91d8d9a565b2e983b054d4f922cb,0.0,0.0,0.0,0.0,0.0,0.0,0.000046615813146034,0.0
0x5dfff0ba7b0f0c8431aba53ac1278c3accc8d6c6,0.0,0.0,0.0,0.0,0.000123089702202099,50.195595620649300000,0.000040994852917432,25.822207021319200000
0xe078b6dfac68b9282c16777a78f2680f1dc5cd86,2.049756624381480000,0.0,0.0,0.0,0.0,0.0,0.000037154101146127,773.591824145136000000
0xaf30e7504eec4e46af6bf4018f8c9f7ce9e9ba8c,0.0,1.563254048795080000,0.40678513747359000,0.0,0.0,0.0,0.000033249398677647,114.002772261652000000
0xce7d5ee041a40e9f724f7d3b74e99d8fc1f0f696,0.0,0.0,0.0,0.0,0.0,0.0,0.000032410638072161,0.0
0x42810ba75fd56a4052209fc42d5a93174abd66b1,0.0,0.0,0.0,0.0,0.0,0.0,0.00002912010988092,161.35150649666900000
0x11b2e2b4a8f5f7fd59229a1b3d86eb7aaab15f82,0.0,0.0,0.0,0.0,0.0,0.0,0.000024587384799637,330.40065736720200000
0x5bd8d53af7cd96af62589b06798a8e4216d4d7e8,0.0,0.0,0.0,0.0,0.0,2131.515461145940000000,0.000020778972103117,200.967221737110000000
0x94be0b9124ae7c111b9c02871100e62c37c14a69,0.0,0.0,0.0,0.0,0.0,0.0,0.000020379828669765,0.0
0x24f850a2addf409d34f171e56b7e7d74fdac2a0f,0.0,0.0,0.0,0.0,0.0,0.0,0.000019754489698747,215.513022200803000000
0x70edf363c1682b806cd58eaa4c45d7adb6f721f9,31.2522882,0.0,0.0,0.0,0.0,0.0,0.000016773650770277,232.222537265606000000
0xebcca48f3eb0a058b4540ef802d598e1406008ef,0.0,0.0,0.0,0.0,0.0,0.0,0.000009954573290458,0.0
0x3cccc8ffbac4aaa5b97899f823ffdae9ad0cd4b6,0.0,0.0,0.0,0.0,0.0,0.0,0.000009410498005366,0.0
0xf5f70962a33e046c08fc4c8a852b6cd79f4cc182,0.0,0.0,0.0,0.0,0.0,0.0,0.000008168065037612,0.0
0x1eec3865fd3015b0ce4b7ab55ed948f80df07ee9,0.0,0.0,0.0,0.0,0.0,0.0,0.00000119672607427,0.0
0x5275817b74021e97c980e95ede6bbac0d0d6f3a2,501.666251882315000000,0.0,1.211046,3.2177505,0.0,3293.555099735680000000,0.0,0.0
0xe35e49532b4067d514d76ca769b984e844b1e031,0.0,0.0,0.0,0.152633028593265000,0.0,0.0,0.0,0.0
0xd9d3dd56936f90ea4c7677f554dfefd45ef6df0f,1977.290241150040000000,247.354244466370000000,75.628534516049200000,0.0,0.00011292569249095,47372.831501843700000000,0.0,0.0
